study	day	treatment	rep	ID	File R1	File R2
V-HMC	90+140	C-AS	1	1153	5101-1153-MS515F-926R_R1	5101-1153-MS515F-926R_R2
V-HMC	90+140	C-AS	2	1154	5101-1154-MS515F-926R_R1	5101-1154-MS515F-926R_R2
V-HMC	90+140	C-AS	3	1155	5101-1155-MS515F-926R_R1	5101-1155-MS515F-926R_R2
V-HMC	90+140	C-AS	4	1156	5101-1156-MS515F-926R_R1	5101-1156-MS515F-926R_R2
V-HMC	90+140	C-AS	5	1157	5101-1157-MS515F-926R_R1	5101-1157-MS515F-926R_R2
V-HMC	90+140	LB-AS	1	1158	5101-1158-MS515F-926R_R1	5101-1158-MS515F-926R_R2
V-HMC	90+140	LB-AS	2	1159	5101-1159-MS515F-926R_R1	5101-1159-MS515F-926R_R2
V-HMC	90+140	LB-AS	3	1160	5101-1160-MS515F-926R_R1	5101-1160-MS515F-926R_R2
V-HMC	90+140	LB-AS	4	1161	5101-1161-MS515F-926R_R1	5101-1161-MS515F-926R_R2
V-HMC	90+140	LB-AS	5	1162	5101-1162-MS515F-926R_R1	5101-1162-MS515F-926R_R2
						
