OTU	Test-Statistic	P	FDR_P	Bonferroni_P	0_mean	168_mean	140_mean	84_mean	112_mean	taxonomy
3171078	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Euzebyales; f__Euzebyaceae; g__Euzebya; s__
1754506	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae; g__Cardiobacterium; s__
4369434	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
193769	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
2086000	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
1033754	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__; s__
4391913	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Dethiosulfovibrionaceae; g__TG5; s__
814358	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae
4457086	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__GN02; c__BD1-5; o__; f__; g__; s__
1009973	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
2783638	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__tannerae
676367	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Schwartzia; s__
80664	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__; s__
New.CleanUp.ReferenceOTU219	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
New.CleanUp.ReferenceOTU299	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
