Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB+LP/30	C-AS/90+50h	41.3	4.05647630339	77.16	16.6272787912	-3.71660129728	1.0
LB+LP/30	C/30+120h	41.3	4.05647630339	101.9	13.6486263045	-7.37163002795	1.0
C/30	C-AS/90	176.625	13.8035095175	128.68	19.9097363117	3.60980140799	1.0
LB/30	LB+LP/30+120h	42.125	4.85096639856	39.925	1.60058583025	0.745959174366	1.0
C/30+120h	C/90+140h	101.9	13.6486263045	100.06	20.7340878748	0.134884611791	1.0
C/30	C-AS/90+140h	176.625	13.8035095175	78.48	22.7908227144	6.6786613724	1.0
LB-AS/90+140	C-AS/90+140h	73.3	0.0	78.48	22.7908227144	-0.185576990449	1.0
LB-AS/90+140h	LB/90	90.95	12.4357347994	66.12	5.114841151	3.57736470484	1.0
LB/90+140h	C-AS/90	80.86	8.10718200116	128.68	19.9097363117	-4.44897848512	1.0
LB/30	C-AS/90	42.125	4.85096639856	128.68	19.9097363117	-7.49219665855	1.0
LB/90+50h	C-AS/90	68.22	5.55027927225	128.68	19.9097363117	-5.85033708402	1.0
LB/30+120h	C-AS/90+50h	37.9	2.1	77.16	16.6272787912	-4.1384087489	1.0
C/30	LB/90	176.625	13.8035095175	66.12	5.114841151	14.5851125137	1.0
LB/90+50h	C-AS/90+50h	68.22	5.55027927225	77.16	16.6272787912	-1.0200137375	1.0
LB-AS/90+50h	LB+LP/30+120h	66.66	11.8376686894	39.925	1.60058583025	3.9547482921	1.0
LB/90+140h	LB+LP/30+120h	80.86	8.10718200116	39.925	1.60058583025	8.77030928476	1.0
C-AS/90+50h	LB-AS/90+140h	77.16	16.6272787912	90.95	12.4357347994	-1.21588345714	1.0
C-AS/90+140h	LB+LP/90+50h	78.48	22.7908227144	65.84	8.7860343728	1.03497443311	1.0
LB+LP/90	C-AS/90	75.52	4.86555238385	128.68	19.9097363117	-5.1874451087	0.924
LB/90+140h	LB/90	80.86	8.10718200116	66.12	5.114841151	3.07537500067	1.0
LB+LP/90+140h	LB/90+140h	83.08	10.3590347041	80.86	8.10718200116	0.337531831952	1.0
LB+LP/90+50h	LB-AS/90	65.84	8.7860343728	67.36	10.490872223	-0.222156703975	1.0
C/90	LB-AS/90+140	147.62	12.0370095954	73.3	0.0	-5.04128749035	1.0
LB+LP/30	LB-AS/90	41.3	4.05647630339	67.36	10.490872223	-4.14082942403	1.0
C/90+140h	C/90+50h	100.06	20.7340878748	137.06	9.34443149689	-3.25382153304	1.0
LB/90+50h	LB/90	68.22	5.55027927225	66.12	5.114841151	0.556463718357	1.0
LB/90+140h	C-AS/90+50h	80.86	8.10718200116	77.16	16.6272787912	0.400033430049	1.0
LB-AS/90+140	C/30	73.3	0.0	176.625	13.8035095175	-5.79817768429	1.0
LB-AS/90+140h	LB+LP/90+50h	90.95	12.4357347994	65.84	8.7860343728	3.12464802082	1.0
LB-AS/90+50h	LB-AS/90	66.66	11.8376686894	67.36	10.490872223	-0.0885103592806	1.0
LB-AS/90+50h	LB-AS/90+140h	66.66	11.8376686894	90.95	12.4357347994	-2.63759458967	1.0
LB/30+120h	C/30	37.9	2.1	176.625	13.8035095175	-17.2090628988	1.0
LB/30+120h	LB+LP/30+120h	37.9	2.1	39.925	1.60058583025	-1.32834491911	1.0
C/90+140h	LB+LP/90+50h	100.06	20.7340878748	65.84	8.7860343728	3.0392369871	1.0
C/90+140h	LB-AS/90	100.06	20.7340878748	67.36	10.490872223	2.81447005494	1.0
LB-AS/90	LB/90	67.36	10.490872223	66.12	5.114841151	0.212486450983	1.0
LB/90+140h	C/90+140h	80.86	8.10718200116	100.06	20.7340878748	-1.72485645042	1.0
C/30	C/90+50h	176.625	13.8035095175	137.06	9.34443149689	4.50704116925	0.693
LB-AS/90+50h	C/90+50h	66.66	11.8376686894	137.06	9.34443149689	-9.33599971694	1.0
LB+LP/90+140h	C/90+50h	83.08	10.3590347041	137.06	9.34443149689	-7.73856110059	1.0
C/30	LB/90+50h	176.625	13.8035095175	68.22	5.55027927225	14.1254645634	0.924
LB+LP/30+120h	C-AS/90	39.925	1.60058583025	128.68	19.9097363117	-7.84269370686	1.0
LB-AS/90+50h	C/30	66.66	11.8376686894	176.625	13.8035095175	-11.339785511	1.0
C-AS/90+140h	LB-AS/90	78.48	22.7908227144	67.36	10.490872223	0.886428712295	1.0
LB+LP/90+50h	C-AS/90	65.84	8.7860343728	128.68	19.9097363117	-5.77515963344	1.0
LB/90+140h	LB-AS/90+140h	80.86	8.10718200116	90.95	12.4357347994	-1.29302833266	1.0
