	sequences per sample	iteration	L1S140	L1S208	L1S8	L1S281	L3S242	L2S309	L2S357	L4S112	L2S155	L2S382	L4S63	L2S222	L3S341	L3S360	L2S204	L4S137	L3S294	L2S175	L5S203	L6S93	L6S20	L6S68	L1S257	L3S378	L1S105	L5S174	L5S155	L5S222	L5S104	L1S57	L1S76	L5S240	L3S313	L2S240
alpha_rarefaction_450_0.txt	450	0	198.833333333	235.434782609	249.0	253.0	179.083333333	382.107142857	418.066666667	376.956521739	289.64	306.0	354.516129032	532.87804878	559.136363636	477.972972973	414.772727273	250.181818182	344.875	296.875	146.909090909	182.333333333	135.0	305.5	295.769230769	302.25	376.111111111	108.615384615	104.875	107.142857143	111.090909091	142.0	137.75	91.9090909091	329.0	214.666666667
alpha_rarefaction_450_1.txt	450	1	233.5	242.652173913	211.5	286.5	235.142857143	592.125	403.117647059	533.0	412.055555556	275.757575758	488.04	648.6	430.0	678.12	573.4	321.047619048	319.055555556	336.807692308	199.0	142.6	154.0	107.0	400.0	225.473684211	218.153846154	92.5	119.461538462	194.5	114.6	322.75	152.5625	104.714285714	373.038461538	200.6
alpha_rarefaction_450_2.txt	450	2	244.230769231	659.75	163.6	311.6875	149.333333333	528.647058824	315.473684211	364.142857143	320.0	294.0	555.15	687.129032258	371.794117647	670.607142857	407.954545455	275.111111111	353.526315789	236.387096774	141.0	198.0	72.6666666667	181.272727273	239.4	220.0	283.1	260.2	117.0	115.375	124.142857143	331.909090909	166.0	189.5	303.833333333	187.083333333
alpha_rarefaction_450_3.txt	450	3	267.666666667	264.3125	121.647058824	240.0	208.125	558.473684211	246.25	459.333333333	336.1	307.6875	478.24	580.783783784	431.0	443.466666667	430.5	302.53125	276.15	469.454545455	168.3	200.25	138.3	128.5	213.105263158	240.055555556	159.058823529	111.0	105.272727273	177.0	113.0	402.875	156.25	82.1111111111	422.0625	150.75
alpha_rarefaction_450_4.txt	450	4	186.235294118	276.333333333	166.333333333	307.714285714	208.125	543.0	425.0	376.555555556	330.25	346.25	466.772727273	439.444444444	491.555555556	609.416666667	426.375	379.0	295.833333333	324.689655172	154.545454545	270.142857143	93.0625	162.0	238.058823529	234.769230769	202.0	137.125	77.5	174.857142857	85.1111111111	140.117647059	175.461538462	112.375	341.037037037	186.0
alpha_rarefaction_450_5.txt	450	5	191.0	169.714285714	188.0	320.214285714	177.5	482.541666667	278.714285714	318.473684211	458.333333333	330.6875	459.888888889	604.75	436.285714286	475.634146341	364.12	371.12	252.789473684	478.0	168.3	149.5	152.0	162.111111111	235.615384615	298.0	343.5	118.461538462	92.5	103.5	91.0	197.666666667	171.0	141.0	236.5	122.583333333
alpha_rarefaction_450_6.txt	450	6	165.0	219.0	118.0	271.055555556	140.75	427.0	261.142857143	366.045454545	343.454545455	270.34375	543.791666667	763.181818182	583.875	636.433333333	490.714285714	331.25	282.956521739	303.785714286	183.625	194.142857143	108.111111111	157.214285714	270.882352941	165.526315789	279.272727273	100.25	114.5	91.0	98.8333333333	388.0	274.333333333	147.0	281.476190476	104.714285714
alpha_rarefaction_450_7.txt	450	7	220.066666667	242.4	120.076923077	287.75	189.0	417.217391304	358.125	430.0	382.166666667	310.8	481.689655172	575.0	473.137931034	718.107142857	362.625	302.7	289.555555556	356.142857143	118.769230769	128.230769231	105.333333333	150.272727273	234.0	182.882352941	161.0	132.0	128.0	111.666666667	79.1	220.769230769	143.125	100.545454545	327.25	119.625
alpha_rarefaction_450_8.txt	450	8	175.176470588	274.333333333	242.0	264.9375	151.0	419.535714286	381.0	535.461538462	406.666666667	385.357142857	822.647058824	598.142857143	431.09375	597.875	497.714285714	401.772727273	346.230769231	283.714285714	150.1	154.769230769	238.375	180.5	258.866666667	221.714285714	180.555555556	119.666666667	164.166666667	196.0	108.333333333	169.571428571	282.111111111	95.9090909091	339.0	159.0
alpha_rarefaction_450_9.txt	450	9	196.117647059	289.166666667	143.25	305.714285714	240.0	454.230769231	335.473684211	680.333333333	306.0	306.923076923	528.4	545.75	445.24137931	697.535714286	537.05	271.730769231	300.0	356.0	134.583333333	218.125	130.857142857	133.857142857	331.375	399.545454545	578.0	150.0	133.125	115.666666667	144.0	163.5	200.6	108.0	324.75	113.071428571
