OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C_mean	C-LATE_mean	C-NO_mean	LB500-LATE_mean	LB500-EARLY_mean	C-EARLY_mean	LB500-NO_mean	taxonomy
AM901917	12.1464963034	0.0587793199258	0.222459484901	1.0	139.25	0.25	130.25	1.0	176.666666667	60.75	140.5	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
New.ReferenceOTU32	12.1014492754	0.0597434873389	0.222459484901	1.0	0.0	774.25	134.75	16.5	8.66666666667	3469.5	7.25	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_humilis
New.ReferenceOTU16	12.054670913	0.0607602178665	0.222459484901	1.0	4.25	0.0	4.0	0.0	6.33333333333	3.75	4.0	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
New.ReferenceOTU33	11.9699335548	0.0626429208105	0.222459484901	1.0	0.0	1467.0	0.0	21.0	0.0	6.75	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedyeast
EU547495	11.96	0.0628671273901	0.222459484901	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
JF300399	11.96	0.0628671273901	0.222459484901	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU721723	11.96	0.0628671273901	0.222459484901	1.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AJ246154	11.96	0.0628671273901	0.222459484901	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsoil_fungus
AM901697	11.96	0.0628671273901	0.222459484901	1.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Incertae_sedis; g__Rhodotorula; s__Rhodotorula_sp_BF98
New.CleanUp.ReferenceOTU68	11.96	0.0628671273901	0.222459484901	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU225	11.96	0.0628671273901	0.222459484901	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU357	11.96	0.0628671273901	0.222459484901	1.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__Pseudallescheria; s__Pseudallescheria_boydii
New.CleanUp.ReferenceOTU733	11.96	0.0628671273901	0.222459484901	1.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Incertae_sedis; g__Rhodotorula; s__Rhodotorula_glutinis
New.CleanUp.ReferenceOTU802	11.96	0.0628671273901	0.222459484901	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU1065	11.96	0.0628671273901	0.222459484901	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU1119	11.96	0.0628671273901	0.222459484901	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
New.ReferenceOTU26	11.9531835206	0.0630214089835	0.222459484901	1.0	48.5	0.0	26.5	0.0	0.0	15.5	143.75	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Trichosporonaceae; g__Asterotremella; s__Asterotremella_humicola
JN904414	11.9423076923	0.063268293871	0.222459484901	1.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
JN905736	11.9423076923	0.063268293871	0.222459484901	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
HM537063	11.9423076923	0.063268293871	0.222459484901	1.0	2.75	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__fungal_endophyte_sp_g88
GU797139	11.9423076923	0.063268293871	0.222459484901	1.0	0.0	0.0	0.0	107.25	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_sp_SS_S8
JN905073	11.9423076923	0.063268293871	0.222459484901	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
JQ666749	11.9423076923	0.063268293871	0.222459484901	1.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Incertae_sedis; f__Plectosphaerellaceae; g__Plectosphaerella; s__Plectosphaerella_cucumerina
FJ762572	11.9423076923	0.063268293871	0.222459484901	1.0	6.75	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FN397265	11.9423076923	0.063268293871	0.222459484901	1.0	19.75	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AY228111	11.9423076923	0.063268293871	0.222459484901	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__Pseudallescheria; s__Pseudallescheria_boydii
AY301025	11.9423076923	0.063268293871	0.222459484901	1.0	7.25	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Cryptococcus; s__Cryptococcus_victoriae
JQ666474	11.9423076923	0.063268293871	0.222459484901	1.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsoil_fungus
HQ829666	11.9423076923	0.063268293871	0.222459484901	1.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Cladosporium; s__Cladosporium_sp_MU_c19_50FSSIno2
FJ762215	11.9423076923	0.063268293871	0.222459484901	1.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FJ760641	11.9423076923	0.063268293871	0.222459484901	1.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
HQ630993	11.9423076923	0.063268293871	0.222459484901	1.0	2.75	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Montagnulaceae; g__Paraphaeosphaeria; s__Paraphaeosphaeria_sp_TMS_2011
HM487058	11.9423076923	0.063268293871	0.222459484901	1.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedDikarya
GU721685	11.9423076923	0.063268293871	0.222459484901	1.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AJ937754	11.9423076923	0.063268293871	0.222459484901	1.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_sp_SS_S8
FJ759854	11.9423076923	0.063268293871	0.222459484901	1.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FJ762517	11.9423076923	0.063268293871	0.222459484901	1.0	2.75	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.ReferenceOTU25	11.9423076923	0.063268293871	0.222459484901	1.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU77	11.9423076923	0.063268293871	0.222459484901	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
New.CleanUp.ReferenceOTU106	11.9423076923	0.063268293871	0.222459484901	1.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__Pseudallescheria; s__Pseudallescheria_boydii
New.CleanUp.ReferenceOTU112	11.9423076923	0.063268293871	0.222459484901	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
New.CleanUp.ReferenceOTU237	11.9423076923	0.063268293871	0.222459484901	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsordariomyceta
New.CleanUp.ReferenceOTU242	11.9423076923	0.063268293871	0.222459484901	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_AR_2010
