# Constructed from biom file
#OTU ID	C	C-EARLY	C-LATE	C-NO	LB500-EARLY	LB500-NO
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.000339889072566	0.00481838635045	0.00572647424445	0.00609808154355	0.00181208909286	0.00205297406287
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;Other	0.0	6.37352691859e-06	0.000108687530144	4.26865708048e-05	2.73179260231e-05	2.7495188342e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Cohnella	0.0	0.0	6.79297063399e-06	3.65884892613e-05	2.73179260231e-05	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	0.00106601572759	0.000732955595638	0.00434750120575	0.0014147549181	0.00221275200787	0.00247456695078
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;Other	0.0	1.91205807558e-05	0.0	6.09808154355e-06	0.0	4.58253139034e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__	0.0	0.0	2.0378911902e-05	1.82942446306e-05	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Rummeliibacillus	0.0	0.000223073442151	0.0	0.0	9.10597534102e-06	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina	0.0	0.0	6.79297063399e-06	1.21961630871e-05	0.0	4.58253139034e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Jeotgalicoccus	0.0	0.0	4.75507944379e-05	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	3.86237582462e-05	0.000274061657499	0.0	6.09808154355e-06	2.73179260231e-05	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other;Other	0.0	0.0012683318568	0.00159634809899	0.00190260144159	0.000200331457502	0.000472000733205
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__;g__	2.31742549477e-05	2.54941076744e-05	4.07578238039e-05	1.82942446306e-05	0.000109271704092	6.41554394648e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__	2.31742549477e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus	1.54495032985e-05	0.0	0.0	6.09808154355e-06	0.0	4.58253139034e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;Other	4.63485098954e-05	0.000369664561278	6.79297063399e-06	0.0	9.10597534102e-06	9.16506278068e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__	0.0	2.54941076744e-05	0.0	6.09808154355e-06	0.0	4.58253139034e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.000231742549477	0.0071638442565	1.3585941268e-05	0.0	8.19537780692e-05	0.000247456695078
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;Other	8.49722681416e-05	0.000305929292092	0.00252698507584	0.000493944605027	0.000309603161595	0.000591146549354
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__	1.54495032985e-05	0.00013384406529	0.00114121906651	0.000359786811069	9.10597534102e-05	0.000366602511227
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.00134410678697	0.764632024423	0.957863203157	0.97451611723	0.942377388042	0.945472458986
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus	0.0	1.91205807558e-05	8.15156476079e-05	2.43923261742e-05	7.28478027282e-05	0.000169553661443
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;Other	0.0	0.0	0.0	0.0	3.64239013641e-05	9.16506278068e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__	9.26970197908e-05	0.000159338172965	0.000224168030922	0.000512238849658	0.000427980841028	0.00192924571533
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc	0.000386237582462	5.09882153487e-05	0.000224168030922	0.000158550120132	0.000509934619097	0.000316194665933
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella	0.000208568294529	3.1867634593e-05	8.15156476079e-05	4.87846523484e-05	0.000273179260231	0.000636971863257
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.000316714817619	4.46146884301e-05	6.79297063399e-05	6.09808154355e-05	0.0	1.83301255614e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	0.00049713509965	2.7171882536e-05	1.21961630871e-05	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter	3.08990065969e-05	0.000210326388314	0.0	1.82942446306e-05	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other	0.0	0.000184832280639	0.000686090034033	0.000158550120132	4.55298767051e-05	0.000151223535881
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	7.72475164923e-06	7.01087961045e-05	0.00010189455951	0.000146353957045	2.73179260231e-05	9.16506278068e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__	0.0	0.0	3.39648531699e-05	0.0	0.0	0.0
