#SampleID	days_since_epoch	Subject_SampleType
14470.M3.feces	14470	M3_feces
14472.M3.feces	14472	M3_feces
14473.M3.feces	14473	M3_feces
14474.M3.feces	14474	M3_feces
14475.M3.feces	14475	M3_feces
14476.M3.feces	14476	M3_feces
14479.M3.feces	14479	M3_feces
14480.M3.feces	14480	M3_feces
14481.M3.feces	14481	M3_feces
14482.M3.feces	14482	M3_feces
14484.M3.feces	14484	M3_feces
14486.M3.feces	14486	M3_feces
14487.M3.feces	14487	M3_feces
14488.M3.feces	14488	M3_feces
14489.M3.feces	14489	M3_feces
14490.M3.feces	14490	M3_feces
14491.M3.feces	14491	M3_feces
14492.M3.feces	14492	M3_feces
14493.M3.feces	14493	M3_feces
14494.M3.feces	14494	M3_feces
14495.M3.feces	14495	M3_feces
14496.M3.feces	14496	M3_feces
14497.M3.feces	14497	M3_feces
14498.M3.feces	14498	M3_feces
14499.M3.feces	14499	M3_feces
14500.M3.feces	14500	M3_feces
14501.M3.feces	14501	M3_feces
14503.M3.feces	14503	M3_feces
14504.M3.feces	14504	M3_feces
14505.M3.feces	14505	M3_feces
14506.M3.feces	14506	M3_feces
14507.M3.feces	14507	M3_feces
14508.M3.feces	14508	M3_feces
14509.M3.feces	14509	M3_feces
14510.M3.feces	14510	M3_feces
14511.M3.feces	14511	M3_feces
14513.M3.feces	14513	M3_feces
14514.M3.feces	14514	M3_feces
14516.M3.feces	14516	M3_feces
14517.M3.feces	14517	M3_feces
14518.M3.feces	14518	M3_feces
14521.M3.feces	14521	M3_feces
14522.M3.feces	14522	M3_feces
14524.M3.feces	14524	M3_feces
14525.M3.feces	14525	M3_feces
14526.M3.feces	14526	M3_feces
14528.M3.feces	14528	M3_feces
14529.M3.feces	14529	M3_feces
14531.M3.feces	14531	M3_feces
14533.M3.feces	14533	M3_feces
14534.M3.feces	14534	M3_feces
14535.M3.feces	14535	M3_feces
14536.M3.feces	14536	M3_feces
14537.M3.feces	14537	M3_feces
14539.M3.feces	14539	M3_feces
14540.M3.feces	14540	M3_feces
14541.M3.feces	14541	M3_feces
14542.M3.feces	14542	M3_feces
14543.M3.feces	14543	M3_feces
14544.M3.feces	14544	M3_feces
14545.M3.feces	14545	M3_feces
14546.M3.feces	14546	M3_feces
14547.M3.feces	14547	M3_feces
14548.M3.feces	14548	M3_feces
14549.M3.feces	14549	M3_feces
14550.M3.feces	14550	M3_feces
14551.M3.feces	14551	M3_feces
14552.M3.feces	14552	M3_feces
14554.M3.feces	14554	M3_feces
14555.M3.feces	14555	M3_feces
14557.M3.feces	14557	M3_feces
14558.M3.feces	14558	M3_feces
14559.M3.feces	14559	M3_feces
14561.M3.feces	14561	M3_feces
14562.M3.feces	14562	M3_feces
14563.M3.feces	14563	M3_feces
14564.M3.feces	14564	M3_feces
14569.M3.feces	14569	M3_feces
14571.M3.feces	14571	M3_feces
14573.M3.feces	14573	M3_feces
14574.M3.feces	14574	M3_feces
14579.M3.feces	14579	M3_feces
14583.M3.feces	14583	M3_feces
14585.M3.feces	14585	M3_feces
14586.M3.feces	14586	M3_feces
14587.M3.feces	14587	M3_feces
14588.M3.feces	14588	M3_feces
14589.M3.feces	14589	M3_feces
14590.M3.feces	14590	M3_feces
14591.M3.feces	14591	M3_feces
14594.M3.feces	14594	M3_feces
14173.F4.L.palm	14173	F4_L_palm
14174.F4.L.palm	14174	F4_L_palm
14175.F4.L.palm	14175	F4_L_palm
14176.F4.L.palm	14176	F4_L_palm
14177.F4.L.palm	14177	F4_L_palm
14178.F4.L.palm	14178	F4_L_palm
14179.F4.L.palm	14179	F4_L_palm
14180.F4.L.palm	14180	F4_L_palm
14181.F4.L.palm	14181	F4_L_palm
14182.F4.L.palm	14182	F4_L_palm
14183.F4.L.palm	14183	F4_L_palm
14184.F4.L.palm	14184	F4_L_palm
14185.F4.L.palm	14185	F4_L_palm
14186.F4.L.palm	14186	F4_L_palm
14187.F4.L.palm	14187	F4_L_palm
14188.F4.L.palm	14188	F4_L_palm
14189.F4.L.palm	14189	F4_L_palm
14190.F4.L.palm	14190	F4_L_palm
14191.F4.L.palm	14191	F4_L_palm
14192.F4.L.palm	14192	F4_L_palm
14193.F4.L.palm	14193	F4_L_palm
14194.F4.L.palm	14194	F4_L_palm
14195.F4.L.palm	14195	F4_L_palm
14196.F4.L.palm	14196	F4_L_palm
14197.F4.L.palm	14197	F4_L_palm
14198.F4.L.palm	14198	F4_L_palm
14199.F4.L.palm	14199	F4_L_palm
14200.F4.L.palm	14200	F4_L_palm
14201.F4.L.palm	14201	F4_L_palm
14202.F4.L.palm	14202	F4_L_palm
14203.F4.L.palm	14203	F4_L_palm
14204.F4.L.palm	14204	F4_L_palm
14215.F4.L.palm	14215	F4_L_palm
14216.F4.L.palm	14216	F4_L_palm
14217.F4.L.palm	14217	F4_L_palm
14218.F4.L.palm	14218	F4_L_palm
14219.F4.L.palm	14219	F4_L_palm
14220.F4.L.palm	14220	F4_L_palm
14221.F4.L.palm	14221	F4_L_palm
14222.F4.L.palm	14222	F4_L_palm
14223.F4.L.palm	14223	F4_L_palm
14224.F4.L.palm	14224	F4_L_palm
14226.F4.L.palm	14226	F4_L_palm
14227.F4.L.palm	14227	F4_L_palm
14228.F4.L.palm	14228	F4_L_palm
14229.F4.L.palm	14229	F4_L_palm
14230.F4.L.palm	14230	F4_L_palm
14231.F4.L.palm	14231	F4_L_palm
14232.F4.L.palm	14232	F4_L_palm
14233.F4.L.palm	14233	F4_L_palm
14234.F4.L.palm	14234	F4_L_palm
14235.F4.L.palm	14235	F4_L_palm
14244.F4.L.palm	14244	F4_L_palm
14245.F4.L.palm	14245	F4_L_palm
14254.F4.L.palm	14254	F4_L_palm
