Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-AS/90+50h	LB-AS/90	151.250470102	27.4221901681	121.750662483	23.9027370392	1.62187423949	1.0
LB/90+50h	LB+LP/30+120h	119.531989102	13.8254804537	71.2195292208	6.29933537376	5.70784785679	1.0
LB/30	LB/90+50h	76.0115368659	6.65635090702	119.531989102	13.8254804537	-5.09954296273	0.924
C/30+120h	C-AS/90+140h	171.146218582	30.1820286295	139.923142593	46.8743028478	1.01811994809	1.0
C/90	C/90+140h	289.482155449	24.8652244896	180.116366794	32.1853364616	5.37799906718	1.0
LB+LP/90	C/30	137.660841136	9.77974617486	322.648416522	26.2538282763	-12.8271442662	0.924
C/30	C/90+140h	322.648416522	26.2538282763	180.116366794	32.1853364616	6.31015270631	0.462
LB-AS/90+140h	C/90+140h	174.047997474	26.9747424886	180.116366794	32.1853364616	-0.266096890266	1.0
LB+LP/90+140h	LB+LP/90+50h	156.724751188	25.16527784	127.622411567	22.496704018	1.72433302373	1.0
LB-AS/90+140	LB/90	131.196352814	0.0	120.086239979	13.79620883	0.657526227327	1.0
LB+LP/90	C/90+140h	137.660841136	9.77974617486	180.116366794	32.1853364616	-2.52423272884	1.0
C/30+120h	LB-AS/90+140h	171.146218582	30.1820286295	174.047997474	26.9747424886	-0.124162253005	1.0
LB/30+120h	LB/90	66.7015476191	7.08053527147	120.086239979	13.79620883	-6.20287683654	1.0
LB/30	C/90+140h	76.0115368659	6.65635090702	180.116366794	32.1853364616	-5.6100234683	1.0
LB/90+50h	C/90+140h	119.531989102	13.8254804537	180.116366794	32.1853364616	-3.45908571146	1.0
C/90+50h	LB-AS/90	255.81492407	22.8804441896	121.750662483	23.9027370392	8.10335007151	1.0
LB+LP/90+140h	C-AS/90+50h	156.724751188	25.16527784	151.250470102	27.4221901681	0.294164480234	1.0
C/90	LB/90	289.482155449	24.8652244896	120.086239979	13.79620883	11.9141234511	1.0
C/90+140h	LB+LP/30+120h	180.116366794	32.1853364616	71.2195292208	6.29933537376	5.87841671596	1.0
C/90	LB+LP/30+120h	289.482155449	24.8652244896	71.2195292208	6.29933537376	15.099835328	1.0
LB-AS/90+50h	LB+LP/90	122.005804314	28.4036737171	137.660841136	9.77974617486	-1.04227334268	1.0
LB+LP/90+140h	LB+LP/30	156.724751188	25.16527784	72.3775501582	9.78193626663	5.58403500055	0.924
LB/30	C/30	76.0115368659	6.65635090702	322.648416522	26.2538282763	-15.772397494	1.0
