New.CleanUp.ReferenceOTU312	166_27418
New.CleanUp.ReferenceOTU313	178_13915
New.CleanUp.ReferenceOTU314	166_13021
New.CleanUp.ReferenceOTU315	148_1376	148_1377	148_12310	148_1374	146_10786
New.CleanUp.ReferenceOTU316	151_5719
New.CleanUp.ReferenceOTU317	166_18908
New.CleanUp.ReferenceOTU318	172_45964
New.CleanUp.ReferenceOTU319	156_12028
New.CleanUp.ReferenceOTU320	146_18215
New.CleanUp.ReferenceOTU321	167_31702
New.CleanUp.ReferenceOTU322	163_12370
New.CleanUp.ReferenceOTU323	156_4214
New.CleanUp.ReferenceOTU324	156_4213	156_30329
New.CleanUp.ReferenceOTU325	156_9090
New.CleanUp.ReferenceOTU326	171_7739
New.CleanUp.ReferenceOTU327	147_7175
New.CleanUp.ReferenceOTU328	173_20459
New.CleanUp.ReferenceOTU329	147_7173
New.CleanUp.ReferenceOTU330	173_20454
New.CleanUp.ReferenceOTU331	176_42485
New.CleanUp.ReferenceOTU332	170_43625
New.CleanUp.ReferenceOTU333	173_35277
New.CleanUp.ReferenceOTU334	167_681
New.CleanUp.ReferenceOTU335	166_26288
New.CleanUp.ReferenceOTU336	167_12844
New.CleanUp.ReferenceOTU337	151_14300	150_42938	153_26778
New.CleanUp.ReferenceOTU338	161_21784
New.CleanUp.ReferenceOTU339	155_2519
New.CleanUp.ReferenceOTU340	176_6870
New.CleanUp.ReferenceOTU341	156_8547
New.CleanUp.ReferenceOTU342	150_26380
New.CleanUp.ReferenceOTU343	176_15568	166_51634	170_8545	176_42490	163_26208	157_4607
New.CleanUp.ReferenceOTU344	156_8549
New.CleanUp.ReferenceOTU345	161_35834
New.CleanUp.ReferenceOTU346	165_40480
New.CleanUp.ReferenceOTU347	151_29959
New.CleanUp.ReferenceOTU348	170_41726
New.CleanUp.ReferenceOTU349	171_31549
New.CleanUp.ReferenceOTU350	148_7150
New.CleanUp.ReferenceOTU351	151_29951
New.CleanUp.ReferenceOTU352	148_1997
New.CleanUp.ReferenceOTU353	158_6744
New.CleanUp.ReferenceOTU354	163_19868
New.CleanUp.ReferenceOTU355	146_9655
New.CleanUp.ReferenceOTU356	146_9654
New.CleanUp.ReferenceOTU357	146_23571
New.CleanUp.ReferenceOTU358	165_22598
New.CleanUp.ReferenceOTU359	156_26099
New.CleanUp.ReferenceOTU360	165_22592
New.CleanUp.ReferenceOTU361	165_33905
New.CleanUp.ReferenceOTU362	155_36927
New.CleanUp.ReferenceOTU363	162_24060
New.CleanUp.ReferenceOTU364	146_5710
New.CleanUp.ReferenceOTU365	158_4709
New.CleanUp.ReferenceOTU366	157_32794
New.CleanUp.ReferenceOTU367	147_3217
New.CleanUp.ReferenceOTU368	163_5675
New.CleanUp.ReferenceOTU369	163_9907
New.CleanUp.ReferenceOTU370	155_40873
New.CleanUp.ReferenceOTU371	146_714
New.CleanUp.ReferenceOTU372	146_23490	146_6670	156_37855
New.CleanUp.ReferenceOTU373	166_37975
New.CleanUp.ReferenceOTU374	156_29242
New.CleanUp.ReferenceOTU375	166_47500
New.CleanUp.ReferenceOTU376	178_24731
New.CleanUp.ReferenceOTU377	156_36818
New.CleanUp.ReferenceOTU378	172_3870
New.CleanUp.ReferenceOTU379	165_31507
New.CleanUp.ReferenceOTU380	165_31502
New.CleanUp.ReferenceOTU381	171_44571
New.CleanUp.ReferenceOTU382	175_52720
New.CleanUp.ReferenceOTU383	156_12635
New.CleanUp.ReferenceOTU384	173_26857
New.CleanUp.ReferenceOTU385	156_19620	156_19621	156_6608	156_904	156_12654	156_25285
New.CleanUp.ReferenceOTU386	172_4069
New.CleanUp.ReferenceOTU387	176_9490
New.CleanUp.ReferenceOTU388	146_12510
New.CleanUp.ReferenceOTU389	156_7748
New.CleanUp.ReferenceOTU390	171_33251
New.CleanUp.ReferenceOTU391	165_47284
New.CleanUp.ReferenceOTU392	172_31290
New.CleanUp.ReferenceOTU393	156_3984	156_3983	156_20294
New.CleanUp.ReferenceOTU394	167_25897
New.CleanUp.ReferenceOTU395	173_3448
New.CleanUp.ReferenceOTU396	165_4201
New.CleanUp.ReferenceOTU397	156_38765	156_38764	156_17253
New.CleanUp.ReferenceOTU398	148_3264
New.CleanUp.ReferenceOTU399	156_5672
New.CleanUp.ReferenceOTU400	157_3487
New.CleanUp.ReferenceOTU401	156_15335	156_15334	156_19595	156_19596
New.CleanUp.ReferenceOTU402	152_16488
New.CleanUp.ReferenceOTU403	167_1653
New.CleanUp.ReferenceOTU404	167_48286	167_48288	167_3612	167_36556
New.CleanUp.ReferenceOTU405	176_14776
New.CleanUp.ReferenceOTU406	178_52021
New.CleanUp.ReferenceOTU407	148_6961
New.CleanUp.ReferenceOTU408	146_27795	146_27797	146_13815	146_11294	146_28164	146_8879
New.CleanUp.ReferenceOTU409	168_21655
New.CleanUp.ReferenceOTU410	156_30155
New.CleanUp.ReferenceOTU411	148_10195
New.CleanUp.ReferenceOTU412	176_17233
New.CleanUp.ReferenceOTU413	147_13091
New.CleanUp.ReferenceOTU414	178_7615	158_16832
New.CleanUp.ReferenceOTU415	176_17234
New.CleanUp.ReferenceOTU416	157_8702
New.CleanUp.ReferenceOTU417	146_25799
New.CleanUp.ReferenceOTU418	171_4417
New.CleanUp.ReferenceOTU419	146_11156
New.CleanUp.ReferenceOTU420	155_33500
New.CleanUp.ReferenceOTU421	146_11150
New.CleanUp.ReferenceOTU422	146_11158
New.CleanUp.ReferenceOTU423	171_18346
New.CleanUp.ReferenceOTU424	166_49595
New.CleanUp.ReferenceOTU425	147_25259
New.CleanUp.ReferenceOTU426	176_11693
New.CleanUp.ReferenceOTU427	148_12977	148_12285	148_7838	148_6775	146_17660	146_15645	146_25571	147_7509	147_10010	147_23057	148_29407
New.CleanUp.ReferenceOTU428	178_43706
New.CleanUp.ReferenceOTU429	175_31752
New.CleanUp.ReferenceOTU430	176_11697	166_13903	148_26492	148_21504
New.CleanUp.ReferenceOTU431	165_39087
New.CleanUp.ReferenceOTU432	162_987
New.CleanUp.ReferenceOTU433	176_11699
New.CleanUp.ReferenceOTU434	162_982
New.CleanUp.ReferenceOTU435	146_27864
New.CleanUp.ReferenceOTU436	158_1863
New.CleanUp.ReferenceOTU437	177_37807
New.CleanUp.ReferenceOTU438	173_6878
New.CleanUp.ReferenceOTU439	156_7842
New.CleanUp.ReferenceOTU440	151_26320
New.CleanUp.ReferenceOTU441	153_4907
New.CleanUp.ReferenceOTU442	157_21700
