OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C-AS_mean	LB+LP_mean	C_mean	LB_mean	LB-AS_mean	taxonomy
New.CleanUp.ReferenceOTU113044	11.8251748252	0.0186997822376	0.116740759396	1.0	0.230769230769	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
3732408	11.7540623453	0.0192769705859	0.120033919937	1.0	0.692307692308	0.181818181818	0.142857142857	0.0434782608696	0.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__; s__
777031	11.6075100686	0.0205215369042	0.127455098099	1.0	0.230769230769	0.0909090909091	0.666666666667	0.173913043478	0.4	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia
810831	11.580097681	0.0207628342392	0.12862309621	1.0	8.46153846154	3.86363636364	41.4761904762	3.21739130435	5.6	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU15174	11.5032319755	0.0214542159329	0.13256620382	1.0	0.0	0.0454545454545	0.0952380952381	0.0	0.3	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU17667	11.4644086492	0.0218118539564	0.134432242752	1.0	0.0769230769231	1.13636363636	0.428571428571	1.04347826087	0.5	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
New.CleanUp.ReferenceOTU61705	11.4471187349	0.0219729816897	0.134814041043	1.0	0.153846153846	0.0909090909091	0.0	0.0	0.3	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU124569	11.4457910314	0.0219854023886	0.134814041043	1.0	0.461538461538	0.0	0.0952380952381	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Pediococcus; s__
837069	11.4100247083	0.0223225702198	0.13630813873	1.0	3.61538461538	0.0	0.761904761905	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__
New.CleanUp.ReferenceOTU97561	11.4079904592	0.0223418969111	0.13630813873	1.0	0.0769230769231	0.0	0.0	0.0	0.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU25523	11.3542647828	0.0228582362329	0.139107049719	1.0	0.307692307692	0.0	0.142857142857	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__tyrobutyricum
810563	11.3263628586	0.0231309353041	0.140412913806	1.0	1.23076923077	0.0	0.428571428571	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__
518002	11.1911006057	0.0244982136153	0.148340060388	1.0	0.0	0.0	0.428571428571	0.0434782608696	0.2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
New.CleanUp.ReferenceOTU34656	11.158266237	0.0248417362564	0.150044086989	1.0	0.307692307692	0.0	0.142857142857	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__brevis
783638	11.1453066592	0.0249786024326	0.150133576167	1.0	0.230769230769	0.0	0.380952380952	0.0434782608696	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Erwinia; s__
New.CleanUp.ReferenceOTU5982	11.1450958221	0.0249808351072	0.150133576167	1.0	0.0769230769231	0.0	0.285714285714	0.0434782608696	0.1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
New.CleanUp.ReferenceOTU99531	11.1004745427	0.025457726221	0.152620016253	1.0	0.0769230769231	0.0454545454545	0.333333333333	0.0	0.3	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU72903	11.0653728114	0.0258390555001	0.154287238079	1.0	0.0769230769231	1.22727272727	0.52380952381	0.869565217391	1.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU64741	11.0631354343	0.025863547774	0.154287238079	1.0	0.461538461538	1.77272727273	1.61904761905	1.47826086957	1.8	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
4449851	10.9546677572	0.0270782382198	0.16113383896	1.0	0.0	0.0454545454545	0.333333333333	0.0434782608696	0.1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
4343005	10.9458810919	0.0271790166152	0.16113383896	1.0	359.307692308	107.5	552.095238095	118.913043478	242.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia
New.CleanUp.ReferenceOTU775	10.9430692319	0.0272113436655	0.16113383896	1.0	0.0	0.136363636364	0.0	0.0434782608696	0.3	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia; s__
668514	10.8091467912	0.0287947826168	0.170093385824	1.0	0.0	0.0454545454545	0.285714285714	0.0	0.1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Klebsiella; s__
New.CleanUp.ReferenceOTU19158	10.7828054008	0.029116538259	0.171574527887	1.0	0.0	0.0	0.285714285714	0.0434782608696	0.1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
308087	10.7657493231	0.0293267241456	0.172392616875	1.0	0.153846153846	0.0	0.333333333333	0.0869565217391	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
555870	10.6960485736	0.0302009874464	0.177100936094	1.0	0.846153846154	0.363636363636	1.7619047619	0.217391304348	0.7	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia
837283	10.6347831258	0.0309901716809	0.181288752496	1.0	75.7692307692	23.2272727273	110.095238095	23.4782608696	46.8	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia
New.CleanUp.ReferenceOTU5251	10.5517624887	0.0320913956888	0.187277323633	1.0	0.0769230769231	0.0454545454545	0.285714285714	0.0434782608696	0.0	Unassigned
New.CleanUp.ReferenceOTU125155	10.5409781522	0.0322371836177	0.187356689898	1.0	0.0769230769231	0.0	0.333333333333	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU67610	10.5392878093	0.0322600923004	0.187356689898	1.0	0.0769230769231	0.0	0.47619047619	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
1084045	10.5299532569	0.0323868834281	0.187492665311	1.0	0.923076923077	0.0	13.4285714286	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Lysinibacillus; s__boronitolerans
New.CleanUp.ReferenceOTU115376	10.5184200812	0.0325442019057	0.187492665311	1.0	0.0	0.0	0.047619047619	0.0	0.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.ReferenceOTU153	10.5153343744	0.0325864172784	0.187492665311	1.0	0.153846153846	0.863636363636	0.333333333333	1.0	0.3	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU19688	10.5147861075	0.0325939236053	0.187492665311	1.0	0.846153846154	0.0	2.42857142857	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
New.CleanUp.ReferenceOTU71657	10.5010419832	0.0327826399785	0.188130304485	1.0	0.230769230769	0.590909090909	0.047619047619	0.434782608696	0.3	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU57753	10.4891635	0.0329465877365	0.188472143724	1.0	0.153846153846	0.0	1.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Lysinibacillus; s__boronitolerans
New.CleanUp.ReferenceOTU75590	10.4797953369	0.0330764448625	0.188472143724	1.0	0.153846153846	0.0	0.333333333333	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
New.CleanUp.ReferenceOTU14173	10.464610601	0.0332879768092	0.188472143724	1.0	0.0769230769231	0.272727272727	0.0	0.521739130435	0.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU126847	10.4600085323	0.0333523431881	0.188472143724	1.0	0.153846153846	0.0	0.190476190476	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__; s__
New.CleanUp.ReferenceOTU123269	10.4527131783	0.0334546247098	0.188472143724	1.0	0.0	0.0454545454545	0.0	0.0	0.2	Unassigned
4317730	10.4463348416	0.0335442971031	0.188472143724	1.0	0.0769230769231	0.0	0.285714285714	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Klebsiella; s__
New.CleanUp.ReferenceOTU50402	10.4463348416	0.0335442971031	0.188472143724	1.0	0.0769230769231	0.0	0.238095238095	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
New.CleanUp.ReferenceOTU69995	10.4463348416	0.0335442971031	0.188472143724	1.0	0.0769230769231	0.0	0.238095238095	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
New.CleanUp.ReferenceOTU76822	10.4463348416	0.0335442971031	0.188472143724	1.0	0.0769230769231	0.0	0.47619047619	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
688934	10.421608429	0.0338941168539	0.189995791923	1.0	0.615384615385	0.227272727273	1.28571428571	0.217391304348	0.8	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia
New.CleanUp.ReferenceOTU59204	10.4051398337	0.0341290548884	0.190077430835	1.0	0.230769230769	0.0	0.190476190476	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__; s__
New.CleanUp.ReferenceOTU74807	10.4051398337	0.0341290548884	0.190077430835	1.0	0.230769230769	0.0	0.190476190476	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
3267277	10.4040467469	0.034144704049	0.190077430835	1.0	0.0769230769231	0.0	0.190476190476	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
New.CleanUp.ReferenceOTU807	10.3927199191	0.0343072717394	0.190106349822	1.0	0.0	0.0	0.0	0.0434782608696	0.2	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__
New.CleanUp.ReferenceOTU19367	10.3927199191	0.0343072717394	0.190106349822	1.0	0.0	0.0	0.0	0.0434782608696	0.2	Unassigned
