New.CleanUp.ReferenceOTU397	178_48050
New.CleanUp.ReferenceOTU398	161_6250
New.CleanUp.ReferenceOTU399	171_33255
New.CleanUp.ReferenceOTU400	165_47283
New.CleanUp.ReferenceOTU401	166_45461	166_45463
New.CleanUp.ReferenceOTU402	175_37984
New.CleanUp.ReferenceOTU403	171_33252
New.CleanUp.ReferenceOTU404	175_12761
New.CleanUp.ReferenceOTU405	155_19844
New.CleanUp.ReferenceOTU406	150_26247
New.CleanUp.ReferenceOTU407	155_19843
New.CleanUp.ReferenceOTU408	177_52337	177_52339
New.CleanUp.ReferenceOTU409	156_5677	156_22233	156_24087	156_8216	156_22936
New.CleanUp.ReferenceOTU410	156_35197
New.CleanUp.ReferenceOTU411	146_23142
New.CleanUp.ReferenceOTU412	148_3268	148_3269	148_32953	148_32955	146_29874	148_31249	148_1437
New.CleanUp.ReferenceOTU413	175_49977
New.CleanUp.ReferenceOTU414	152_16489
New.CleanUp.ReferenceOTU415	178_28309
New.CleanUp.ReferenceOTU416	170_22611
New.CleanUp.ReferenceOTU417	162_13297
New.CleanUp.ReferenceOTU418	171_24916
New.CleanUp.ReferenceOTU419	156_7295	167_20836	156_2027	156_16171
New.CleanUp.ReferenceOTU420	157_29165
New.CleanUp.ReferenceOTU421	162_29461
New.CleanUp.ReferenceOTU422	167_27028
New.CleanUp.ReferenceOTU423	148_29839
New.CleanUp.ReferenceOTU424	146_27793
New.CleanUp.ReferenceOTU425	148_6965	148_6967
New.CleanUp.ReferenceOTU426	146_27790
New.CleanUp.ReferenceOTU427	176_49763
New.CleanUp.ReferenceOTU428	176_17233
New.CleanUp.ReferenceOTU429	171_16818	170_17195	157_493	176_38662
New.CleanUp.ReferenceOTU430	178_7615
New.CleanUp.ReferenceOTU431	173_19648	158_27190	158_32597	158_8439	172_11289	172_27432	172_27431	158_19514	157_2712	158_20987	173_4928	161_19564	172_40073	158_31120	157_1814	158_25746	156_20373	158_30102	158_5187	158_30342	158_28252	158_30873	158_5168	171_17790	161_30592	172_48072	158_2815	171_33307	158_14100	173_24211	172_43141	158_22523	157_7848	158_8770	161_11446	161_18528	158_8925	158_18337	158_16865	157_20399	158_15379	158_15660	158_15860	161_18995	172_36437	161_36655	158_29896	161_7115	161_34405	161_15652	158_1067	158_23735	158_25874	158_19914	161_38007	157_23209	158_20125	158_22349	158_26988	173_2644	161_20260	161_43754	157_23629	173_1008	157_35452	161_2929	158_6192	158_11747	158_20126	171_2643	158_13989	158_7663	158_2058	173_45039
New.CleanUp.ReferenceOTU432	148_10190	148_10192	168_14393	168_15309	147_6929	148_2145	148_24454	172_41158	172_22295	146_17899
New.CleanUp.ReferenceOTU433	147_17735
New.CleanUp.ReferenceOTU434	157_8703
New.CleanUp.ReferenceOTU435	163_8618
New.CleanUp.ReferenceOTU436	173_39743
New.CleanUp.ReferenceOTU437	148_23768
New.CleanUp.ReferenceOTU438	168_61899
New.CleanUp.ReferenceOTU439	147_25826
New.CleanUp.ReferenceOTU440	163_30133
New.CleanUp.ReferenceOTU441	162_989
New.CleanUp.ReferenceOTU442	162_984
New.CleanUp.ReferenceOTU443	178_43709
New.CleanUp.ReferenceOTU444	147_25824
New.CleanUp.ReferenceOTU445	150_23995
New.CleanUp.ReferenceOTU446	146_27867
New.CleanUp.ReferenceOTU447	153_14164
New.CleanUp.ReferenceOTU448	168_58228
New.CleanUp.ReferenceOTU449	165_42504	165_32285	172_1200	165_15644	165_18240	157_42004	167_7585
New.CleanUp.ReferenceOTU450	167_15514
New.CleanUp.ReferenceOTU451	177_51028
New.CleanUp.ReferenceOTU452	165_42503	151_30668	165_40502	152_10883	165_52056	168_35178	168_35180	165_21241	166_43168
New.CleanUp.ReferenceOTU453	170_1045
New.CleanUp.ReferenceOTU454	172_28155
New.CleanUp.ReferenceOTU455	157_21701
New.CleanUp.ReferenceOTU456	172_28157
New.CleanUp.ReferenceOTU457	150_12034
New.CleanUp.ReferenceOTU458	171_47705
New.CleanUp.ReferenceOTU459	158_7429
New.CleanUp.ReferenceOTU460	156_1526	156_4402	156_32614	156_38943
New.CleanUp.ReferenceOTU461	171_38348
New.CleanUp.ReferenceOTU462	146_25421	146_25424	146_6504	146_2713	146_16385	148_30384
New.CleanUp.ReferenceOTU463	157_36813
New.CleanUp.ReferenceOTU464	148_10227
New.CleanUp.ReferenceOTU465	173_8751
New.CleanUp.ReferenceOTU466	165_27403
New.CleanUp.ReferenceOTU467	146_16511
New.CleanUp.ReferenceOTU468	178_626
New.CleanUp.ReferenceOTU469	156_6163
New.CleanUp.ReferenceOTU470	156_5589
New.CleanUp.ReferenceOTU471	177_11330
New.CleanUp.ReferenceOTU472	146_16518
New.CleanUp.ReferenceOTU473	177_11333
New.CleanUp.ReferenceOTU474	152_11904
New.CleanUp.ReferenceOTU475	177_11335
New.CleanUp.ReferenceOTU476	168_26385
New.CleanUp.ReferenceOTU477	177_11337
New.CleanUp.ReferenceOTU478	172_24861
New.CleanUp.ReferenceOTU479	163_38840
New.CleanUp.ReferenceOTU480	172_24864
New.CleanUp.ReferenceOTU481	178_53777
New.CleanUp.ReferenceOTU482	173_38830
New.CleanUp.ReferenceOTU483	156_38594	156_38596	156_31697
New.CleanUp.ReferenceOTU484	177_49427
New.CleanUp.ReferenceOTU485	152_10360
New.CleanUp.ReferenceOTU486	146_28779
New.CleanUp.ReferenceOTU487	146_10208
New.CleanUp.ReferenceOTU488	152_31327
New.CleanUp.ReferenceOTU489	153_37054
New.CleanUp.ReferenceOTU490	172_25405
New.CleanUp.ReferenceOTU491	177_3105
New.CleanUp.ReferenceOTU492	175_48376
New.CleanUp.ReferenceOTU493	155_27629
New.CleanUp.ReferenceOTU494	163_2465
New.CleanUp.ReferenceOTU495	155_27627
New.CleanUp.ReferenceOTU496	147_31946
New.CleanUp.ReferenceOTU497	155_32590
New.CleanUp.ReferenceOTU498	151_11213
New.CleanUp.ReferenceOTU499	170_31515
New.CleanUp.ReferenceOTU500	151_11216	176_18010	151_3534
New.CleanUp.ReferenceOTU501	147_4881	147_4882	156_26248	146_15355	147_28055	146_24917	147_35193	156_19490	146_7434	147_9343	148_35743	147_18755	147_29499	147_29500	148_12910	147_9780	147_24069	146_3567	152_13339	147_16973	147_6821
New.CleanUp.ReferenceOTU502	147_4883
New.CleanUp.ReferenceOTU503	147_4887
New.CleanUp.ReferenceOTU504	166_33500
New.CleanUp.ReferenceOTU505	148_13759
New.CleanUp.ReferenceOTU506	158_29223
New.CleanUp.ReferenceOTU507	148_13757
New.CleanUp.ReferenceOTU508	148_13754
New.CleanUp.ReferenceOTU509	156_35689
New.CleanUp.ReferenceOTU510	177_14211
New.CleanUp.ReferenceOTU511	172_11826
New.CleanUp.ReferenceOTU512	150_12699
New.CleanUp.ReferenceOTU513	156_35680
New.CleanUp.ReferenceOTU514	177_6688
