# Constructed from biom file
#OTU ID	C/0	C/10	C/30	C/92	LB/10	LB/30	LB/92	LH + LB/10	LH + LB/30	LH + LB/92	LH/10	LH/30	LH/92
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.000122028934416	0.0	0.0	9.18568869701e-05	0.0	0.0	0.0	0.0	0.0	6.31771804024e-05	0.0	0.0	1.66252421051e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae	8.13526229442e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66252421051e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae	0.000623703442572	1.40295743427e-05	0.0	0.000202085151334	7.89048013572e-06	0.0	8.82122032762e-05	6.53078284494e-06	0.0	2.36914426509e-05	1.70948937552e-05	0.0	4.98757263153e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae	0.0	0.0	0.0	0.0	0.0	0.0	5.29273219657e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria	0.890499369517	0.0011504250961	0.000795923826175	0.00622789693657	0.000394524006786	0.000561032299431	0.00203770189568	0.00052899341044	0.000521839539893	0.0026534415769	0.000507148514739	0.00030213969841	0.00222778244208
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	0.00421677762261	0.00010522180757	4.56677605183e-05	0.000422541680062	7.89048013572e-05	1.33579118912e-05	6.17485422933e-05	4.57154799146e-05	0.0	9.47657706037e-05	5.69829791841e-05	0.0	0.000199502905261
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__	0.00221007958998	6.31330845422e-05	0.0	0.00291186331695	7.10143212214e-05	0.0	0.00105854643931	7.83693941393e-05	0.0	0.000837097640332	0.000131060852123	0.0	0.000714885410519
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	0.000460998196684	2.10443615141e-05	1.30479315766e-05	0.000284756349607	0.0	0.0	0.0	0.0	3.33089068017e-05	0.0	5.69829791841e-06	0.0	0.000249378631576
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.000515233278646	0.000210443615141	0.000561061057796	0.000257199283516	0.0	0.0	1.76424406552e-05	0.0	0.0	0.0	5.69829791841e-06	4.1200867965e-05	5.81883473678e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0.00705056065516	0.000273576699683	1.9571897365e-05	0.00838653378037	5.523336095e-05	0.0	0.0019494896924	4.57154799146e-05	2.22059378678e-05	0.00198218403513	3.98880854289e-05	2.06004339825e-05	0.00222778244208
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	0.000623703442572	7.01478717136e-06	6.52396578832e-06	0.000101042575667	0.0	0.0	0.000158781965897	0.0	0.0	5.52800328521e-05	1.70948937552e-05	0.0	8.31262105254e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hydrogenophilales;f__Hydrogenophilaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8971475503e-06	0.0	0.0	2.49378631576e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1;f__	5.42350819628e-05	0.0	0.0	7.34855095761e-05	0.0	0.0	0.0	0.0	0.0	2.36914426509e-05	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae	2.71175409814e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66252421051e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae	0.0	0.0	0.0	0.000165342396546	0.0	0.0	4.41061016381e-05	6.53078284494e-06	0.0	2.36914426509e-05	0.0	0.0	1.66252421051e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__0319-6G20	0.0	0.0	0.0	1.8371377394e-05	0.0	0.0	0.0	0.0	0.0	7.8971475503e-06	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other;Other	0.0	1.40295743427e-05	6.52396578832e-06	9.18568869701e-06	0.0	0.0	0.0	6.53078284494e-06	0.0	7.8971475503e-06	5.69829791841e-06	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__[Chromatiaceae]	1.35587704907e-05	0.0	0.0	9.18568869701e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	0.0425474217998	0.26468194955	0.126871562686	0.260175446654	0.058894543733	0.0286660789185	0.0176689043162	0.0841230138257	0.0219727755202	0.0364453359447	0.0721803397325	0.0253728678551	0.0665092810414
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae	0.0	0.0	0.0	3.6742754788e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
