OTU	Test-Statistic	P	FDR_P	Bonferroni_P	LB-AS/90+50h_mean	C/90_mean	LB/30_mean	LB+LP/90+140h_mean	LB-AS/90+140_mean	LB/90+140h_mean	LB+LP/90_mean	LB/30+120h_mean	C/30_mean	LB/90+50h_mean	LB+LP/30_mean	C/30+120h_mean	C-AS/90+50h_mean	LB-AS/90+140h_mean	C-AS/90+140h_mean	C/90+140h_mean	LB+LP/90+50h_mean	LB+LP/30+120h_mean	C/90+50h_mean	C-AS/90_mean	LB-AS/90_mean	LB/90_mean	taxonomy
New.CleanUp.ReferenceOTU2875	72.7190721649	1.27972821182e-07	4.39648563092e-06	0.000136291054559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
4389594	72.1182540108	1.60149018681e-07	5.32995952797e-06	0.000170558704895	0.2	3.4	0.0	0.2	1.0	0.0	0.2	0.0	2.25	0.2	0.0	4.5	4.6	0.25	2.4	6.0	0.4	0.0	3.6	1.4	0.0	0.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
New.ReferenceOTU77	72.0003781901	1.67341544078e-07	5.40056801343e-06	0.000178218744443	0.0	5.6	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8	2.8	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium
New.CleanUp.ReferenceOTU3317	71.8084261536	1.79742771786e-07	5.63017799858e-06	0.000191426051952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.2	0.0	0.0	0.2	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__; s__
1991307	71.3488158859	2.13246113319e-07	6.488774591e-06	0.000227107110685	2.6	0.0	3.75	2.4	2.0	4.0	3.2	3.75	0.0	4.0	4.25	0.0	1.0	3.0	2.8	0.6	3.0	6.5	0.0	1.4	4.2	5.4	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU2167	71.2501048976	2.21209091565e-07	6.54410229212e-06	0.000235587682516	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU5157	70.8858982975	2.53212579211e-07	7.16478662557e-06	0.000269671396859	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	1.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
New.ReferenceOTU63	70.8601058776	2.556449688e-07	7.16478662557e-06	0.000272261891772	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	1.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
354494	70.6618777411	2.75125263451e-07	7.5130360404e-06	0.000293008405576	1.4	16.4	0.25	2.8	1.0	1.0	1.4	0.0	16.0	1.0	0.0	91.25	10.4	3.0	11.2	26.8	0.4	0.0	11.4	11.4	1.6	2.4	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.ReferenceOTU28	70.1451013791	3.33069054793e-07	8.86796358385e-06	0.000354718543354	0.0	4.8	0.0	0.0	0.0	0.0	0.2	0.0	2.5	0.2	0.0	0.5	0.4	0.25	0.0	0.0	0.0	0.0	5.4	1.8	0.2	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__zeae
New.ReferenceOTU45	69.6267819163	4.03254093025e-07	1.0474770953e-05	0.000429465609072	4.8	4.4	0.0	4.4	2.0	5.2	2.6	0.75	1.5	3.2	0.0	0.0	1.8	4.5	0.0	0.2	3.2	0.0	4.6	2.4	3.4	4.2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia
